Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal,,1.202615836,0.382642643
523,0.001,4.471475348,22.19351442,,,
573,0.001,3.864607186,1.255477305,,,
623,0.001,1.202615836,0.382642643,,5.480974532,3.187635962
673,0.001,3.181756818,1.743969176,,,
523,0.01,12.97995162,13.97170332,,,
573,0.01,5.744544457,3.409998475,,,
623,0.01,5.480974532,3.187635962,,0.721501253,30.29891161
673,0.01,3.614287266,3.157000685,,,
523,0.1,74.67615013,294.517848,,,
573,0.1,12.78088808,121.8271395,,,
623,0.1,0.721501253,30.29891161,,4.496029936,20.91286758
673,0.1,4.790429842,18.41835303,,,
523,1,97.1860678,11.95726628,,,
573,1,58.09581317,33.19453413,,,
623,1,4.496029936,20.91286758,,2.97528039,13.69551445
673,1,4.777967218,4.964122696,,,
,,,,,,
