Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal,,21.19769857,18.48113756
523,0.001,0.179808355,29.63212231,,7.21942729,
573,0.001,21.19769857,18.48113756,,7.462082854,40.25631155
623,0.001,7.462082854,40.25631155,,8.140946395,3.757436349
673,0.001,0.094435769,81.03162793,,12.38320479,
523,0.01,0.454632383,52.51855997,,0.581605093,
573,0.01,8.140946395,3.757436349,,7.21942729,7.027777647
623,0.01,7.21942729,7.027777647,,12.38320479,70.93339834
673,0.01,0.162906367,24.53142802,,,
523,0.1,0.658189878,169.1024474,,,
573,0.1,12.38320479,70.93339834,,0.581605093,40.60814745
623,0.1,0.581605093,40.60814745,,82.79299493,52.35629119
673,0.1,0.157650274,66.00689521,,,
523,1,0.248202536,4.262723478,,,
573,1,82.79299493,52.35629119,,12.58473279,48.95022841
623,1,12.58473279,48.95022841,,15.68608453,35.29634106
673,1,0.12411711,9.789701478,,,
