Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal
523,0.001,40.39154035040541,144.550584513071
573,0.001,1.1011044977466014,4.027300727113648
623,0.001,0.7878315884727001,1.5340223540831002
673,0.001,11.973526544850266,15.909471710648656
523,0.01,103.0741624458376,125.39409220231046
573,0.01,2.433018558245118,25.023988657718164
623,0.01,2.3169799801192092,3.656784530084379
673,0.01,0.9392966648296299,2.733789359340252
523,0.1,51.118113151952016,165.30762533424252
573,0.1,1.5832519533411082,60.29190633030596
623,0.1,0.2846482415246216,24.63383519371562
673,0.1,0.5336091709163467,36.677935068704414
523,1.0,356.08725064550487,116.47948351220232
573,1.0,24.905701815492442,3.6521824946838057
623,1.0,2.5128105107873955,11.372984954243021
673,1.0,23.666445993148766,1.5332275083497526
